Date,High,Low,Open,Close,Volume,Adj Close
2020-09-30,49.619998931884766,48.88999938964844,49.27000045776367,49.369998931884766,15753700,48.985904693603516
2020-10-01,49.65999984741211,48.59000015258789,49.439998626708984,49.18000030517578,17577300,48.797386169433594
2020-10-02,49.58000183105469,48.54999923706055,48.7599983215332,49.36000061035156,13610100,48.97598648071289
2020-10-05,49.54999923706055,49.119998931884766,49.43000030517578,49.380001068115234,10628700,48.99583053588867
2020-10-06,49.72999954223633,48.83000183105469,49.54999923706055,48.939998626708984,10077400,48.55924987792969
2020-10-07,49.7599983215332,48.95000076293945,49.02000045776367,49.560001373291016,10135600,49.17443084716797
2020-10-08,50.540000915527344,49.540000915527344,49.709999084472656,50.459999084472656,12143900,50.06742477416992
2020-10-09,51.22999954223633,50.599998474121094,50.66999816894531,50.810001373291016,11407800,50.414703369140625
2020-10-12,51.529998779296875,50.83000183105469,50.84000015258789,51.09000015258789,11386500,50.69252395629883
2020-10-13,50.9900016784668,49.900001525878906,50.9900016784668,50.220001220703125,14365300,49.82929611206055
2020-10-14,50.4900016784668,49.650001525878906,50.04999923706055,50.119998931884766,10582900,49.730072021484375
2020-10-15,50.130001068115234,49.29999923706055,49.400001525878906,49.9900016784668,9961700,49.6010856628418
2020-10-16,50.349998474121094,49.869998931884766,49.9900016784668,50.029998779296875,13569800,49.640769958496094
2020-10-19,50.47999954223633,49.459999084472656,50.029998779296875,49.619998931884766,9930400,49.23395919799805
2020-10-20,50.619998931884766,49.790000915527344,49.88999938964844,50.25,10970700,49.85905838012695
2020-10-21,50.43000030517578,49.77000045776367,49.959999084472656,49.9900016784668,12517400,49.6010856628418
2020-10-22,51.20000076293945,50.380001068115234,51.16999816894531,50.68000030517578,20189200,50.28571701049805
2020-10-23,51.18000030517578,50.470001220703125,51.0,50.52000045776367,13491300,50.12696075439453
2020-10-26,50.5099983215332,49.20000076293945,50.34000015258789,49.79999923706055,14696400,49.412559509277344
2020-10-27,50.290000915527344,49.54999923706055,49.810001373291016,49.900001525878906,13892100,49.511783599853516
2020-10-28,49.150001525878906,47.779998779296875,49.0,47.959999084472656,19886200,47.586875915527344
2020-10-29,48.47999954223633,47.29999923706055,47.72999954223633,48.02000045776367,15369900,47.64640808105469
2020-10-30,48.119998931884766,47.369998931884766,47.810001373291016,48.060001373291016,15804000,47.686100006103516
